source,target
paper_27878359,mesh_Female
paper_27878359,"mesh_Genes, Tumor Suppressor"
paper_27878359,mesh_Humans
paper_27878359,mesh_Male
paper_27878359,mesh_Middle Aged
paper_27878359,mesh_Proto-Oncogene Proteins c-bcl-2
paper_27878359,"mesh_RNA, Long Noncoding"
paper_27878359,mesh_Urinary Bladder Neoplasms
paper_38142765,mesh_Animals
paper_38142765,mesh_Humans
paper_38142765,mesh_Amphotericin B
paper_38142765,mesh_Leishmania donovani
paper_38142765,mesh_Thioridazine
paper_38142765,mesh_Antiprotozoal Agents
paper_38142765,"mesh_Leishmaniasis, Visceral"
paper_38934825,mesh_Humans
paper_38934825,mesh_India
paper_38934825,mesh_Case-Control Studies
paper_38934825,mesh_Male
paper_38934825,mesh_Female
paper_38934825,mesh_Adult
paper_38934825,mesh_Diabetes Mellitus
paper_38934825,mesh_Middle Aged
paper_38934825,mesh_Mental Disorders
paper_38934825,mesh_Rural Population
paper_38934825,mesh_Anxiety Disorders
paper_38934825,mesh_Socioeconomic Factors
paper_38934825,mesh_Aged
paper_38934825,mesh_Logistic Models
paper_36060877,mesh_Agriculture
paper_36060877,mesh_China
paper_36060877,mesh_Farms
paper_36060877,mesh_Humans
paper_36060877,mesh_Rural Population
paper_39067943,mesh_Humans
paper_39067943,"mesh_Tuberculosis, Multidrug-Resistant"
paper_39067943,mesh_Phytochemicals
paper_39067943,mesh_Drug Discovery
paper_39067943,mesh_Antitubercular Agents
paper_39067943,mesh_Mycobacterium tuberculosis
paper_39067943,"mesh_Medicine, Ayurvedic"
paper_39067943,mesh_Phytotherapy
paper_35419690,mesh_Adsorption
paper_35419690,mesh_Alginates
paper_35419690,mesh_Azo Compounds
paper_35419690,mesh_Hydrogels
paper_35419690,mesh_Hydrogen-Ion Concentration
paper_35419690,mesh_Kinetics
paper_35419690,"mesh_Spectroscopy, Fourier Transform Infrared"
paper_35419690,mesh_Water
paper_35419690,"mesh_Water Pollutants, Chemical"
paper_35419690,mesh_Wood
paper_37997702,mesh_Humans
paper_37997702,mesh_Reactive Oxygen Species
paper_37997702,mesh_Neoplasms
paper_37997702,mesh_MicroRNAs
paper_37997702,mesh_Oxidation-Reduction
paper_37997702,mesh_Neoplastic Stem Cells
paper_35924272,mesh_Anxiety
paper_35924272,mesh_Blood Glucose
paper_35924272,mesh_C-Reactive Protein
paper_35924272,mesh_Humans
paper_35924272,mesh_Hydrocortisone
paper_35924272,mesh_Public Health
paper_35924272,mesh_Quality of Life
paper_35924272,"mesh_Stress, Psychological"
paper_38202817,mesh_Acetylcholinesterase
paper_38202817,mesh_Butyrylcholinesterase
paper_38202817,mesh_Cyclooxygenase 2
paper_38202817,mesh_Molecular Docking Simulation
paper_38202817,mesh_alpha-Glucosidases
paper_38202817,mesh_Monophenol Monooxygenase
paper_38202817,mesh_Parmeliaceae
paper_38202817,mesh_Hydroxybenzoates
paper_38235144,mesh_Male
paper_38235144,mesh_Mice
paper_38235144,mesh_Animals
paper_38235144,mesh_Epoxide Hydrolases
paper_38235144,mesh_Hydroxyproline
paper_38235144,mesh_Nephritis
paper_38235144,mesh_Ureteral Obstruction
paper_38235144,"mesh_Renal Insufficiency, Chronic"
paper_38235144,mesh_Inflammation
paper_38235144,mesh_Collagen
paper_38235144,mesh_Fibrosis
paper_35092751,mesh_Carbon
paper_35092751,mesh_Electrochemical Techniques
paper_35092751,mesh_Electrodes
paper_35092751,mesh_Environmental Pollutants
paper_35092751,mesh_Ferric Compounds
paper_35092751,mesh_Humans
paper_35092751,mesh_Limit of Detection
paper_35092751,mesh_Nanoparticles
paper_35092751,mesh_Nickel
paper_35092751,mesh_Pentachlorophenol
paper_35092751,mesh_Plant Extracts
paper_38117471,mesh_Humans
paper_38117471,mesh_Wastewater
paper_38117471,mesh_SARS-CoV-2
paper_38117471,mesh_COVID-19
paper_38117471,mesh_Food
paper_38117471,"mesh_Adenoviruses, Human"
paper_38114925,mesh_Enterobacter cloacae
paper_38114925,mesh_Gossypium
paper_38114925,mesh_Plant Growth Regulators
paper_38114925,mesh_Plant Development
paper_38114925,mesh_Salt Stress
paper_38976344,mesh_Humans
