source,target
paper_38680529,journal_Clinical practice and epidemiology in mental health : CP & EMH
paper_31257524,journal_International journal of molecular medicine
paper_38001355,journal_Communications biology
paper_34473780,journal_PloS one
paper_38198989,journal_Multiple sclerosis and related disorders
paper_34136571,journal_BioMed research international
paper_38613699,journal_Journal of psycholinguistic research
paper_38144454,journal_iScience
paper_38761780,journal_International immunopharmacology
paper_38148851,"journal_The journal of physical chemistry. C, Nanomaterials and interfaces"
paper_37348638,journal_Environmental research
paper_33385089,journal_Heliyon
paper_37998380,journal_Cells
paper_35198634,journal_BioMed research international
paper_38017445,journal_BMC medical genomics
paper_38314302,journal_Heliyon
paper_38073235,journal_Applied immunohistochemistry & molecular morphology : AIMM
paper_35027944,journal_Computational and mathematical methods in medicine
paper_38179329,journal_Frontiers in veterinary science
paper_35676968,journal_Computational intelligence and neuroscience
paper_34746118,journal_Frontiers in cell and developmental biology
paper_38222678,journal_Annals of medicine and surgery (2012)
paper_38061486,journal_Cancer letters
paper_38234808,journal_bioRxiv : the preprint server for biology
paper_15280370,journal_The Journal of biological chemistry
paper_37951153,journal_Biochemical and biophysical research communications
paper_38042071,journal_Journal of environmental management
paper_38116933,journal_The Journal of general virology
paper_38248388,journal_Biosensors
paper_24349058,journal_PloS one
paper_38962240,journal_Frontiers in medicine
paper_38867957,journal_Heliyon
paper_34659675,journal_Journal of healthcare engineering
paper_37237752,"journal_Antibiotics (Basel, Switzerland)"
paper_39629097,journal_The Canadian journal of statistics = Revue canadienne de statistique
paper_30890157,journal_Journal of experimental & clinical cancer research : CR
paper_26170889,journal_Evidence-based complementary and alternative medicine : eCAM
paper_38201254,journal_Cells
paper_39327346,journal_Neurosurgical review
paper_38069545,journal_International wound journal
paper_32051698,journal_Disease markers
paper_39702045,journal_BMC cardiovascular disorders
paper_35646152,journal_Evidence-based complementary and alternative medicine : eCAM
paper_38081526,journal_Matrix biology : journal of the International Society for Matrix Biology
paper_38445762,journal_American journal of biological anthropology
paper_35786897,journal_The journal of physical chemistry. B
paper_38150804,journal_Environment international
paper_38559795,journal_Journal of rheumatic diseases
paper_38577144,journal_Indian journal of clinical biochemistry : IJCB
paper_36213014,journal_Journal of environmental and public health
paper_39766067,journal_Cancers
paper_29649320,journal_PloS one
paper_38259415,journal_Cureus
paper_35096757,journal_Frontiers in public health
paper_36347396,journal_Environmental research
paper_36034204,journal_Contrast media & molecular imaging
paper_35281945,journal_Computational and mathematical methods in medicine
paper_35463225,journal_Computational intelligence and neuroscience
paper_35942455,journal_Computational intelligence and neuroscience
paper_34457111,journal_Oxidative medicine and cellular longevity
paper_38116063,journal_MedComm
paper_35116885,journal_Translational cancer research
paper_22319637,journal_PloS one
paper_38099214,journal_Cellular and molecular bioengineering
paper_38213580,journal_Heliyon
paper_34697569,journal_Journal of healthcare engineering
paper_38081371,journal_Biochemical pharmacology
paper_39621647,journal_PloS one
paper_36199611,journal_RSC advances
paper_39247334,journal_Heliyon
paper_38516300,journal_Biophysics reports
paper_23009652,journal_BMC clinical pathology
paper_38142467,journal_Maturitas
paper_38086827,journal_Scientific reports
paper_32337255,journal_BioMed research international
paper_38114557,journal_Scientific reports
paper_38476422,journal_Journal of neurosciences in rural practice
paper_38145397,journal_The Pediatric infectious disease journal
paper_38143958,journal_NAR genomics and bioinformatics
paper_38205186,journal_Biochemistry and biophysics reports
paper_38287589,journal_International journal of biological macromolecules
paper_38279441,"journal_Cellular and molecular biology (Noisy-le-Grand, France)"
paper_37953466,journal_FEBS open bio
paper_38158146,"journal_Nanomedicine : nanotechnology, biology, and medicine"
paper_34058384,journal_Molecular therapy : the journal of the American Society of Gene Therapy
paper_34745506,journal_Journal of healthcare engineering
paper_38292764,journal_Frontiers in endocrinology
paper_39484058,journal_Acta medica Philippina
paper_29434913,journal_Oncology letters
paper_38275370,journal_Biomedicines
paper_34868516,journal_Journal of healthcare engineering
paper_38287568,journal_International journal of biological macromolecules
paper_38072943,journal_International journal of oral science
paper_33681364,journal_BioMed research international
paper_30201874,journal_International journal of molecular sciences
paper_38071970,journal_Neuroendocrinology
paper_38445424,journal_La Tunisie medicale
paper_39669870,journal_Cureus
paper_38139359,journal_International journal of molecular sciences
paper_35126951,journal_Journal of healthcare engineering
paper_34208430,journal_Journal of clinical medicine
paper_31105783,journal_Experimental and therapeutic medicine
paper_35898476,journal_Computational and mathematical methods in medicine
paper_35432842,journal_Journal of healthcare engineering
paper_38639656,journal_Zhonghua nan ke xue = National journal of andrology
paper_38476858,journal_Sleep and biological rhythms
paper_34518801,journal_BioMed research international
paper_18459356,journal_Perceptual and motor skills
paper_38103735,journal_Journal of thrombosis and haemostasis : JTH
paper_34791915,journal_Human & experimental toxicology
paper_24386307,journal_PloS one
paper_38579127,journal_Annals of hepatology
paper_38171663,journal_Carbohydrate polymers
paper_38094485,journal_Medecine tropicale et sante internationale
paper_30867685,journal_Experimental and therapeutic medicine
paper_19039953,journal_Microbiology and immunology
paper_38226368,journal_Archives of Razi Institute
paper_38152471,journal_Helminthologia
paper_35874403,journal_Frontiers in psychology
paper_38288305,journal_Frontiers in medicine
paper_38938726,journal_JACC. Advances
paper_33014165,journal_Oncology letters
paper_30569129,journal_Molecular medicine reports
paper_37035451,journal_Emergency medicine international
paper_34496829,journal_BMC pulmonary medicine
paper_30542391,journal_Experimental and therapeutic medicine
paper_36223414,journal_PloS one
paper_38087891,journal_Emerging topics in life sciences
paper_39175603,journal_Applied magnetic resonance
paper_38476927,journal_Canada communicable disease report = Releve des maladies transmissibles au Canada
paper_38087481,journal_BMJ case reports
paper_35646151,journal_Evidence-based complementary and alternative medicine : eCAM
paper_38343708,journal_Frontiers in neuroscience
paper_34912535,journal_Journal of healthcare engineering
paper_38018913,journal_Briefings in bioinformatics
paper_38129816,journal_BMC public health
paper_37231052,journal_Scientific reports
paper_35126620,journal_Computational and mathematical methods in medicine
paper_37958949,journal_International journal of molecular sciences
paper_38650756,journal_Discovery immunology
paper_38348159,journal_Cureus
paper_35647190,journal_BioMed research international
paper_38370942,journal_Industrial psychiatry journal
paper_33057583,journal_Bioscience reports
paper_36238489,journal_Computational and mathematical methods in medicine
paper_34589152,journal_Oncology letters
paper_38251345,"journal_Pathogens (Basel, Switzerland)"
paper_30655830,journal_Oncology letters
paper_38156568,journal_Voprosy virusologii
paper_38012097,journal_International wound journal
paper_38022636,journal_Frontiers in immunology
paper_27536070,"journal_Drug design, development and therapy"
paper_34819992,journal_Computational and mathematical methods in medicine
