node_id,mesh_term
mesh_Anxiety,Anxiety
mesh_Bromodeoxyuridine,Bromodeoxyuridine
mesh_Maternal Mortality,Maternal Mortality
mesh_Nitrogen Dioxide,Nitrogen Dioxide
mesh_Environmental Monitoring,Environmental Monitoring
mesh_Drug Resistance,Drug Resistance
mesh_Respiratory Protective Devices,Respiratory Protective Devices
mesh_Corpus Striatum,Corpus Striatum
"mesh_Drug Resistance, Bacterial","Drug Resistance, Bacterial"
mesh_Advertising,Advertising
mesh_Viral Structural Proteins,Viral Structural Proteins
mesh_11-beta-Hydroxysteroid Dehydrogenases,11-beta-Hydroxysteroid Dehydrogenases
mesh_Arrestins,Arrestins
mesh_Tinidazole,Tinidazole
mesh_Flow Cytometry,Flow Cytometry
mesh_Abdominal Fat,Abdominal Fat
"mesh_Tomography, Emission-Computed, Single-Photon","Tomography, Emission-Computed, Single-Photon"
"mesh_Catheters, Indwelling","Catheters, Indwelling"
mesh_Clostridioides,Clostridioides
"mesh_Antibodies, Monoclonal, Humanized","Antibodies, Monoclonal, Humanized"
mesh_Preoperative Period,Preoperative Period
mesh_Poverty,Poverty
mesh_Datasets as Topic,Datasets as Topic
mesh_Body Height,Body Height
mesh_Gait Analysis,Gait Analysis
mesh_Polo-Like Kinase 1,Polo-Like Kinase 1
mesh_Calcium Compounds,Calcium Compounds
"mesh_Students, Medical","Students, Medical"
mesh_Fusobacterium,Fusobacterium
mesh_Peroxidases,Peroxidases
"mesh_Receptors, Growth Factor","Receptors, Growth Factor"
mesh_Prostate-Specific Antigen,Prostate-Specific Antigen
mesh_Hydrolyzable Tannins,Hydrolyzable Tannins
mesh_Saccharomyces,Saccharomyces
mesh_Intermediate Filaments,Intermediate Filaments
mesh_Virion,Virion
"mesh_Microscopy, Fluorescence","Microscopy, Fluorescence"
mesh_Abdominal Pain,Abdominal Pain
mesh_Aizoaceae,Aizoaceae
mesh_Intestines,Intestines
mesh_HEK293 Cells,HEK293 Cells
mesh_Surgical Wound Infection,Surgical Wound Infection
"mesh_Defibrillators, Implantable","Defibrillators, Implantable"
mesh_Oncolytic Viruses,Oncolytic Viruses
mesh_West Nile virus,West Nile virus
"mesh_Rats, Inbred F344","Rats, Inbred F344"
mesh_Arginase,Arginase
"mesh_Pneumonia, Bacterial","Pneumonia, Bacterial"
mesh_Plasmodium falciparum,Plasmodium falciparum
mesh_Phosphoproteins,Phosphoproteins
mesh_Agammaglobulinaemia Tyrosine Kinase,Agammaglobulinaemia Tyrosine Kinase
mesh_Prostaglandins,Prostaglandins
mesh_Hypesthesia,Hypesthesia
mesh_Chemokine CCL5,Chemokine CCL5
mesh_Calcium-Calmodulin-Dependent Protein Kinases,Calcium-Calmodulin-Dependent Protein Kinases
mesh_Myalgia,Myalgia
mesh_Verapamil,Verapamil
mesh_Anthraquinones,Anthraquinones
mesh_Self Report,Self Report
mesh_Postpartum Hemorrhage,Postpartum Hemorrhage
mesh_Sternum,Sternum
"mesh_Keratosis, Actinic","Keratosis, Actinic"
mesh_Hydroxychloroquine,Hydroxychloroquine
mesh_Gene Ontology,Gene Ontology
mesh_Rotifera,Rotifera
mesh_Primary Cell Culture,Primary Cell Culture
mesh_Epoxy Resins,Epoxy Resins
mesh_Culture Media,Culture Media
mesh_Fatty Acid Transport Proteins,Fatty Acid Transport Proteins
mesh_Quorum Sensing,Quorum Sensing
"mesh_Mice, Nude","Mice, Nude"
mesh_Core Binding Factor Alpha 3 Subunit,Core Binding Factor Alpha 3 Subunit
mesh_Health Status Indicators,Health Status Indicators
mesh_Recurrence,Recurrence
mesh_Ovum,Ovum
mesh_Biology,Biology
"mesh_Liver Failure, Acute","Liver Failure, Acute"
mesh_Multienzyme Complexes,Multienzyme Complexes
"mesh_Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal"
mesh_Acrylic Resins,Acrylic Resins
"mesh_Receptor, Metabotropic Glutamate 5","Receptor, Metabotropic Glutamate 5"
mesh_Feasibility Studies,Feasibility Studies
mesh_Proline,Proline
"mesh_Meningitis, Fungal","Meningitis, Fungal"
mesh_Gonadal Steroid Hormones,Gonadal Steroid Hormones
mesh_Heart Atria,Heart Atria
mesh_Adenylyl Cyclases,Adenylyl Cyclases
mesh_Deafness,Deafness
mesh_Emergency Medical Services,Emergency Medical Services
mesh_Microbial Viability,Microbial Viability
mesh_Parenteral Nutrition,Parenteral Nutrition
"mesh_Tuberculosis, Male Genital","Tuberculosis, Male Genital"
mesh_Photoplethysmography,Photoplethysmography
mesh_Complement C3,Complement C3
mesh_Linoleic Acids,Linoleic Acids
"mesh_Mice, Inbred MRL lpr","Mice, Inbred MRL lpr"
mesh_Cell Lineage,Cell Lineage
mesh_Tamoxifen,Tamoxifen
mesh_Low Density Lipoprotein Receptor-Related Protein-6,Low Density Lipoprotein Receptor-Related Protein-6
"mesh_Eye Infections, Fungal","Eye Infections, Fungal"
mesh_Hydroxamic Acids,Hydroxamic Acids
mesh_Inheritance Patterns,Inheritance Patterns
mesh_Malate Dehydrogenase,Malate Dehydrogenase
"mesh_Europe, Eastern","Europe, Eastern"
mesh_Inhibitory Concentration 50,Inhibitory Concentration 50
mesh_Imagination,Imagination
mesh_Paraquat,Paraquat
mesh_Rosacea,Rosacea
mesh_Quinazolinones,Quinazolinones
"mesh_Indoleamine-Pyrrole 2,3,-Dioxygenase","Indoleamine-Pyrrole 2,3,-Dioxygenase"
mesh_Blood Volume,Blood Volume
mesh_Computer Communication Networks,Computer Communication Networks
mesh_Problem Solving,Problem Solving
mesh_Biosimilar Pharmaceuticals,Biosimilar Pharmaceuticals
mesh_Carcinoid Tumor,Carcinoid Tumor
mesh_Auditory Cortex,Auditory Cortex
mesh_Escherichia coli Proteins,Escherichia coli Proteins
"mesh_Hypertrophy, Left Ventricular","Hypertrophy, Left Ventricular"
mesh_Anti-Mullerian Hormone,Anti-Mullerian Hormone
"mesh_Cholesterol, LDL","Cholesterol, LDL"
"mesh_Spondylitis, Ankylosing","Spondylitis, Ankylosing"
