node_id,author_name
author_Patrizio Lancellotti,Patrizio Lancellotti
author_Huayun Wan,Huayun Wan
author_Jenni Virta,Jenni Virta
author_Yafed Syufi,Yafed Syufi
author_Yeongshin Kim,Yeongshin Kim
author_Vinko Krajina,Vinko Krajina
author_Frédéric De Schaetzen,Frédéric De Schaetzen
author_Wanying Lu,Wanying Lu
author_Michiel D Vriesendorp,Michiel D Vriesendorp
author_ChenWei Liu,ChenWei Liu
author_Meena Kishore Sakharkar,Meena Kishore Sakharkar
author_Antonia Dibernardo,Antonia Dibernardo
author_Yibo Fan,Yibo Fan
author_Vivian D de Jong,Vivian D de Jong
author_Jiadi Lv,Jiadi Lv
author_Katarzyna Iwanicka-Pronicka,Katarzyna Iwanicka-Pronicka
author_Jiabin Wang,Jiabin Wang
author_Jiayu Zhang,Jiayu Zhang
author_Valentina Pugliese,Valentina Pugliese
author_Changhai Yang,Changhai Yang
author_Masakatsu Tsurusaki,Masakatsu Tsurusaki
author_Zongwei Chen,Zongwei Chen
author_Yali Zhao,Yali Zhao
author_Abhijit Dey,Abhijit Dey
author_Jaden M Carlson,Jaden M Carlson
author_Kostas K Tsilidis,Kostas K Tsilidis
author_S L Jasti,S L Jasti
author_Maliheh Paknejad,Maliheh Paknejad
author_Sylvère Durand,Sylvère Durand
author_Francois Aguet,Francois Aguet
author_Jiaoxiang Wu,Jiaoxiang Wu
author_Mohammed Iqbal,Mohammed Iqbal
author_Vito Ricapito,Vito Ricapito
author_Md Moneef Ahmad,Md Moneef Ahmad
author_Shiqin Li,Shiqin Li
author_Leonid Gorb,Leonid Gorb
author_Yanhong Huang,Yanhong Huang
author_Essam Nageh Sholkamy,Essam Nageh Sholkamy
author_Shelinder Pal Singh Shergill,Shelinder Pal Singh Shergill
author_Michelle Sallin,Michelle Sallin
author_Wesley Billingham,Wesley Billingham
author_Abdulaziz Mohsen Al-Mahallawi,Abdulaziz Mohsen Al-Mahallawi
author_Razvan Vlad Opris,Razvan Vlad Opris
author_Caimin Wang,Caimin Wang
author_R Z Sayyed,R Z Sayyed
author_Junnosuke Miura,Junnosuke Miura
author_Hongmei Zhang,Hongmei Zhang
author_Malcolm Maden,Malcolm Maden
author_Lisa L Barnes,Lisa L Barnes
author_Noyal Mariya Joseph,Noyal Mariya Joseph
author_Justina Kilaitė,Justina Kilaitė
author_Gunther Wittstock,Gunther Wittstock
